,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
67,E07000028,Carlisle,North West,E,6260.0,1750.0,74.54,39.86,60.14,108155
68,E07000029,Copeland,North West,E,1532.0,391.0,70.06,38.0,62.0,69647
69,E07000030,Eden,North West,E,2569.0,522.0,75.82,46.68,53.32,52565
70,E07000031,South Lakeland,North West,E,8292.0,2353.0,79.78,52.86,47.14,103454
71,E07000032,Amber Valley,East Midlands,E,2111.0,175.0,76.34,39.72,60.28,124069
72,E07000033,Bolsover,East Midlands,E,1933.0,1159.0,72.33,29.17,70.83,77780
73,E07000034,Chesterfield,East Midlands,E,2324.0,561.0,71.92,39.96,60.04,104407
74,E07000035,Derbyshire Dales,East Midlands,E,2196.0,-339.0,81.92,48.44,51.56,71145
75,E07000036,Erewash,East Midlands,E,2401.0,-220.0,75.99,38.77,61.23,114510
76,E07000037,High Peak,East Midlands,E,2700.0,-335.0,75.69,49.45,50.55,91496
77,E07000038,North East Derbyshire,East Midlands,E,1617.0,350.0,75.25,37.22,62.78,99639
78,E07000039,South Derbyshire,East Midlands,E,2545.0,480.0,76.8,39.65,60.35,99319
79,E07000040,East Devon,South West,E,5372.0,1425.0,78.94,45.89,54.11,138141
80,E07000041,Exeter,South West,E,26120.0,8011.0,73.91,55.28,44.72,127308
81,E07000042,Mid Devon,South West,E,3152.0,287.0,79.38,46.66,53.34,79510
82,E07000043,North Devon,South West,E,3946.0,499.0,76.85,42.96,57.04,94172
83,E07000044,South Hams,South West,E,3920.0,-108.0,80.27,52.85,47.15,84470
84,E07000045,Teignbridge,South West,E,4946.0,228.0,79.4,46.1,53.9,128826
85,E07000046,Torridge,South West,E,2070.0,552.0,78.41,39.17,60.83,66265
86,E07000047,West Devon,South West,E,2074.0,387.0,81.26,46.8,53.2,54385
87,E07000048,Christchurch,South West,E,1584.0,-145.0,79.3,41.17,58.83,49057
88,E07000049,East Dorset,South West,E,2330.0,215.0,81.33,42.38,57.62,88690
89,E07000050,North Dorset,South West,E,3334.0,-2061.0,79.71,43.6,56.4,70713
90,E07000051,Purbeck,South West,E,3184.0,68.0,78.91,40.93,59.07,46212
91,E07000052,West Dorset,South West,E,4825.0,-1449.0,79.49,48.97,51.03,100747
92,E07000053,Weymouth and Portland,South West,E,2646.0,-2277.0,75.87,38.96,61.04,65166
93,E07000061,Eastbourne,South East,E,10301.0,1550.0,74.73,42.67,57.33,102465
